cidade,data,precipitacao,temperatura,umidade,vento,ano,bairro
ALEGRETE,2014-03-11,0.0,25.0,69.95833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-03-12,0.0,,65.41666666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-03-13,0.0,24.0,69.625,2.0,2014,ALEGRETE
ALEGRETE,2014-03-14,0.0,23.5,69.0,2.6666666666666665,2014,ALEGRETE
ALEGRETE,2014-03-15,0.0,26.333333333333332,76.08333333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-03-16,1.0,20.0,90.20833333333333,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-03-17,1.0,24.0,93.25,,2014,ALEGRETE
ALEGRETE,2014-03-18,0.0,21.0,87.91666666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-03-19,0.0,20.25,92.91666666666667,2.6,2014,ALEGRETE
ALEGRETE,2014-03-20,0.0,20.25,87.125,1.0,2014,ALEGRETE
ALEGRETE,2014-03-21,0.0,19.25,76.83333333333333,1.5,2014,ALEGRETE
ALEGRETE,2014-03-22,0.0,15.5,57.375,2.5,2014,ALEGRETE
ALEGRETE,2014-03-23,0.0,8.666666666666666,65.91666666666667,,2014,ALEGRETE
ALEGRETE,2014-03-24,0.0,20.666666666666668,67.83333333333333,,2014,ALEGRETE
ALEGRETE,2014-03-25,0.0,19.0,74.375,1.0,2014,ALEGRETE
ALEGRETE,2014-03-26,0.0,22.5,74.79166666666667,,2014,ALEGRETE
ALEGRETE,2014-03-27,0.0,25.333333333333332,71.375,2.5,2014,ALEGRETE
ALEGRETE,2014-03-28,0.0,,71.29166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-03-29,0.0,23.0,67.04166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-03-30,15.0,21.5,89.20833333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-03-31,0.0,21.5,87.125,2.0,2014,ALEGRETE
ALEGRETE,2014-04-01,0.0,19.5,76.875,3.0,2014,ALEGRETE
ALEGRETE,2014-04-02,0.0,23.666666666666668,74.29166666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-04-03,0.0,26.666666666666668,72.125,,2014,ALEGRETE
ALEGRETE,2014-04-04,0.0,,69.41666666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-04-05,0.0,24.8,71.20833333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-04-06,0.0,25.25,73.5,1.5,2014,ALEGRETE
ALEGRETE,2014-04-07,0.0,30.25,70.33333333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-04-08,10.0,24.666666666666668,86.66666666666667,2.5,2014,ALEGRETE
ALEGRETE,2014-04-09,0.0,21.666666666666668,71.33333333333333,2.0,2014,ALEGRETE
