Unidade de Medida,valor,cod_municipio,ano,variavel,produto
Mil Reais,347.0,4300034,2015,Valor da produção,Trigo
Hectares,500.0,4300034,2016,Área plantada,Milho
Hectares,25000.0,4300034,2016,Área plantada,Soja
Hectares,320.0,4300034,2016,Área plantada,Trigo
Hectares,500.0,4300034,2016,Área colhida,Milho
Hectares,20000.0,4300034,2016,Área colhida,Soja
Hectares,320.0,4300034,2016,Área colhida,Trigo
Toneladas,1548.0,4300034,2016,Quantidade produzida,Milho
Toneladas,50000.0,4300034,2016,Quantidade produzida,Soja
Toneladas,640.0,4300034,2016,Quantidade produzida,Trigo
Quilogramas por Hectare,3096.0,4300034,2016,Rendimento médio da produção,Milho
Quilogramas por Hectare,2500.0,4300034,2016,Rendimento médio da produção,Soja
Quilogramas por Hectare,2000.0,4300034,2016,Rendimento médio da produção,Trigo
Mil Reais,1103.0,4300034,2016,Valor da produção,Milho
Mil Reais,62075.0,4300034,2016,Valor da produção,Soja
Mil Reais,325.0,4300034,2016,Valor da produção,Trigo
Hectares,500.0,4300034,2017,Área plantada,Milho
Hectares,20000.0,4300034,2017,Área plantada,Soja
Hectares,320.0,4300034,2017,Área plantada,Trigo
Hectares,500.0,4300034,2017,Área colhida,Milho
Hectares,20000.0,4300034,2017,Área colhida,Soja
Hectares,320.0,4300034,2017,Área colhida,Trigo
Toneladas,1548.0,4300034,2017,Quantidade produzida,Milho
Toneladas,50000.0,4300034,2017,Quantidade produzida,Soja
Toneladas,640.0,4300034,2017,Quantidade produzida,Trigo
Quilogramas por Hectare,3096.0,4300034,2017,Rendimento médio da produção,Milho
Quilogramas por Hectare,2500.0,4300034,2017,Rendimento médio da produção,Soja
Quilogramas por Hectare,2000.0,4300034,2017,Rendimento médio da produção,Trigo
Mil Reais,572.0,4300034,2017,Valor da produção,Milho
Mil Reais,48851.0,4300034,2017,Valor da produção,Soja
Mil Reais,321.0,4300034,2017,Valor da produção,Trigo
Hectares,1200.0,4300034,2018,Área plantada,Milho
Hectares,25000.0,4300034,2018,Área plantada,Soja
Hectares,960.0,4300034,2018,Área colhida,Milho
Hectares,15000.0,4300034,2018,Área colhida,Soja
Toneladas,2592.0,4300034,2018,Quantidade produzida,Milho
Toneladas,30000.0,4300034,2018,Quantidade produzida,Soja
Quilogramas por Hectare,2700.0,4300034,2018,Rendimento médio da produção,Milho
Quilogramas por Hectare,2000.0,4300034,2018,Rendimento médio da produção,Soja
Mil Reais,1503.0,4300034,2018,Valor da produção,Milho
Mil Reais,45000.0,4300034,2018,Valor da produção,Soja
Hectares,900.0,4300034,2019,Área plantada,Milho
Hectares,25000.0,4300034,2019,Área plantada,Soja
Hectares,900.0,4300034,2019,Área colhida,Milho
Hectares,25000.0,4300034,2019,Área colhida,Soja
Toneladas,2700.0,4300034,2019,Quantidade produzida,Milho
Toneladas,52500.0,4300034,2019,Quantidade produzida,Soja
Quilogramas por Hectare,3000.0,4300034,2019,Rendimento médio da produção,Milho
Quilogramas por Hectare,2100.0,4300034,2019,Rendimento médio da produção,Soja
Mil Reais,1429.0,4300034,2019,Valor da produção,Milho
Mil Reais,59798.0,4300034,2019,Valor da produção,Soja
Hectares,1500.0,4300034,2020,Área plantada,Milho
Hectares,25000.0,4300034,2020,Área plantada,Soja
Hectares,1500.0,4300034,2020,Área colhida,Milho
Hectares,25000.0,4300034,2020,Área colhida,Soja
Toneladas,2400.0,4300034,2020,Quantidade produzida,Milho
Toneladas,26250.0,4300034,2020,Quantidade produzida,Soja
Quilogramas por Hectare,1600.0,4300034,2020,Rendimento médio da produção,Milho
Quilogramas por Hectare,1050.0,4300034,2020,Rendimento médio da produção,Soja
Mil Reais,1741.0,4300034,2020,Valor da produção,Milho
Mil Reais,41602.0,4300034,2020,Valor da produção,Soja
Hectares,1500.0,4300034,2021,Área plantada,Milho
Hectares,25000.0,4300034,2021,Área plantada,Soja
Hectares,1000.0,4300034,2021,Área plantada,Trigo
Hectares,1500.0,4300034,2021,Área colhida,Milho
Hectares,25000.0,4300034,2021,Área colhida,Soja
Hectares,1000.0,4300034,2021,Área colhida,Trigo
Toneladas,5400.0,4300034,2021,Quantidade produzida,Milho
Toneladas,63000.0,4300034,2021,Quantidade produzida,Soja
Toneladas,2100.0,4300034,2021,Quantidade produzida,Trigo
Quilogramas por Hectare,3600.0,4300034,2021,Rendimento médio da produção,Milho
Quilogramas por Hectare,2520.0,4300034,2021,Rendimento médio da produção,Soja
Quilogramas por Hectare,2100.0,4300034,2021,Rendimento médio da produção,Trigo
Mil Reais,9612.0,4300034,2021,Valor da produção,Milho
Mil Reais,172485.0,4300034,2021,Valor da produção,Soja
Mil Reais,2874.0,4300034,2021,Valor da produção,Trigo
Hectares,1500.0,4300034,2022,Área plantada,Milho
Hectares,30000.0,4300034,2022,Área plantada,Soja
Hectares,240.0,4300034,2022,Área plantada,Trigo
Hectares,1500.0,4300034,2022,Área colhida,Milho
Hectares,30000.0,4300034,2022,Área colhida,Soja
Hectares,240.0,4300034,2022,Área colhida,Trigo
Toneladas,3600.0,4300034,2022,Quantidade produzida,Milho
Toneladas,48750.0,4300034,2022,Quantidade produzida,Soja
Toneladas,576.0,4300034,2022,Quantidade produzida,Trigo
Quilogramas por Hectare,2400.0,4300034,2022,Rendimento médio da produção,Milho
Quilogramas por Hectare,1625.0,4300034,2022,Rendimento médio da produção,Soja
Quilogramas por Hectare,2400.0,4300034,2022,Rendimento médio da produção,Trigo
Mil Reais,4940.0,4300034,2022,Valor da produção,Milho
Mil Reais,53625.0,4300034,2022,Valor da produção,Soja
Mil Reais,881.0,4300034,2022,Valor da produção,Trigo
Hectares,1600.0,4300034,2023,Área plantada,Milho
Hectares,28000.0,4300034,2023,Área plantada,Soja
Hectares,2300.0,4300034,2023,Área plantada,Trigo
Hectares,1600.0,4300034,2023,Área colhida,Milho
Hectares,28000.0,4300034,2023,Área colhida,Soja
Hectares,2300.0,4300034,2023,Área colhida,Trigo
Toneladas,1389.0,4300034,2023,Quantidade produzida,Milho
Toneladas,35000.0,4300034,2023,Quantidade produzida,Soja
Toneladas,5520.0,4300034,2023,Quantidade produzida,Trigo
Quilogramas por Hectare,868.0,4300034,2023,Rendimento médio da produção,Milho
Quilogramas por Hectare,1250.0,4300034,2023,Rendimento médio da produção,Soja
Quilogramas por Hectare,2400.0,4300034,2023,Rendimento médio da produção,Trigo
Mil Reais,1429.0,4300034,2023,Valor da produção,Milho
Mil Reais,75075.0,4300034,2023,Valor da produção,Soja
Mil Reais,5704.0,4300034,2023,Valor da produção,Trigo
Hectares,1000.0,4300034,2024,Área plantada,Milho
Hectares,32000.0,4300034,2024,Área plantada,Soja
Hectares,1200.0,4300034,2024,Área plantada,Trigo
Hectares,1000.0,4300034,2024,Área colhida,Milho
Hectares,32000.0,4300034,2024,Área colhida,Soja
Hectares,1200.0,4300034,2024,Área colhida,Trigo
Toneladas,2400.0,4300034,2024,Quantidade produzida,Milho
Toneladas,36288.0,4300034,2024,Quantidade produzida,Soja
Toneladas,2592.0,4300034,2024,Quantidade produzida,Trigo
Quilogramas por Hectare,2400.0,4300034,2024,Rendimento médio da produção,Milho
Quilogramas por Hectare,1134.0,4300034,2024,Rendimento médio da produção,Soja
Quilogramas por Hectare,2160.0,4300034,2024,Rendimento médio da produção,Trigo
Mil Reais,2080.0,4300034,2024,Valor da produção,Milho
